"dt_iso","temp","dew_point","feels_like","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","rain_1h","clouds_all","weather_main","weather_description"
"2021-01-01 00:00:00",5.75,4.71,5.75,5.06,6.69,1016,93,0.89,31,,20,"Clouds","few clouds"
"2021-01-01 01:00:00",5.15,4.11,5.15,4.77,6.14,1016,93,0.45,359,,0,"Clear","sky is clear"
"2021-01-01 02:00:00",4.17,3.59,3.23,2.27,5.72,1016,96,1.34,4,,0,"Clear","sky is clear"
"2021-01-01 03:00:00",3.9,3.02,2.92,1.72,5.16,1016,94,1.34,20,,1,"Clear","sky is clear"
"2021-01-01 04:00:00",3.57,2.7,2.32,1.16,4.6,1016,94,1.5,100,,20,"Clouds","few clouds"
"2021-01-01 05:00:00",3.94,3.21,3.94,2.8,4.6,1016,95,0.45,149,0.25,75,"Rain","light intensity shower rain"
"2021-01-01 06:00:00",3.67,3.67,1.24,1.16,4.08,1015,100,2.6,120,0.11,75,"Rain","light intensity shower rain"
"2021-01-01 07:00:00",3.84,3.84,2.62,2.8,4.33,1015,100,1.5,140,0.29,75,"Rain","light intensity shower rain"
"2021-01-01 08:00:00",4.27,3.24,1.21,1.72,4.87,1016,93,3.6,30,0.42,75,"Rain","light rain"
"2021-01-01 09:00:00",4.11,4.11,1.76,3.36,5.19,1016,100,2.6,100,0.2,20,"Rain","light rain"
"2021-01-01 10:00:00",5.73,4.38,5.73,4.16,6.53,1017,91,0.5,0,,75,"Clouds","broken clouds"
"2021-01-01 11:00:00",6.93,5.88,6.93,6.3,7.53,1016,93,0.45,12,,0,"Clear","sky is clear"
"2021-01-01 12:00:00",8.42,5.88,8.03,6.86,9.53,1017,84,1.34,4,,0,"Clear","sky is clear"
"2021-01-01 13:00:00",9.36,4.77,9.36,7.97,9.87,1016,73,0.89,4,,20,"Clouds","few clouds"
"2021-01-01 14:00:00",9.88,5.27,9.69,7.27,12.25,1015,73,1.34,324,,20,"Clouds","few clouds"
"2021-01-01 15:00:00",9.76,5.55,9.55,8.38,10.53,1016,75,1.34,326,,20,"Clouds","few clouds"
"2021-01-01 16:00:00",8.9,5.28,8.1,7.93,10.58,1016,78,1.79,36,,20,"Clouds","few clouds"
"2021-01-01 17:00:00",7.88,5.52,7.42,7.28,9.47,1016,85,1.34,330,,40,"Clouds","scattered clouds"
"2021-01-01 18:00:00",7.54,5.18,7.04,6.72,8.89,1016,85,1.34,40,0.25,75,"Rain","light intensity shower rain"
"2021-01-01 19:00:00",6.68,5,6.68,4.93,8.89,1016,89,0.45,4,0.38,0,"Rain","light rain"
"2021-01-01 20:00:00",5.36,4.32,5.36,4.23,6.27,1017,93,0.89,41,,0,"Clear","sky is clear"
"2021-01-01 21:00:00",4.26,2.92,4.26,3.77,5.58,1017,91,0.89,336,,0,"Clear","sky is clear"
"2021-01-01 22:00:00",4.31,2.82,3.39,2.83,5.16,1017,90,1.34,13,,0,"Clear","sky is clear"
