"dt_iso","temp","dew_point","feels_like","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","rain_1h","clouds_all"
"2020-01-01 00:00:00",5.3,4.57,5.3,2.83,7.97,1032,95,0.89,359,,20
"2020-01-01 01:00:00",4.51,3.78,4.51,2.83,8.52,1031,95,0.89,168,,20
"2020-01-01 02:00:00",4.82,3.79,4.82,2.8,7.97,1031,93,0,0,,40
"2020-01-01 03:00:00",4.41,3.07,2.44,2.25,7.97,1031,91,2.24,120,,20
"2020-01-01 04:00:00",3.65,3.07,0.19,1.69,7.41,1031,96,4.02,120,,40
"2020-01-01 05:00:00",3.99,2.96,2.09,1.69,7.41,1031,93,2.1,100,,40
"2020-01-01 06:00:00",2.63,2.06,0.35,0.73,7.41,1031,96,2.24,100,,40
"2020-01-01 07:00:00",2.47,1.15,-1.26,0.58,7.41,1031,91,4.02,110,,40
"2020-01-01 08:00:00",2.45,1.13,-0.29,0.33,6.86,1031,91,2.68,90,,20
"2020-01-01 09:00:00",2.48,1.47,1.32,1.14,4.5,1032,93,1.34,160,,20
"2020-01-01 10:00:00",4.88,2.74,1.38,1.36,10.19,1032,86,4.6,110,,0
"2020-01-01 11:00:00",7.56,4.51,5.52,6.33,12.06,1032,81,3.1,120,,0
"2020-01-01 12:00:00",9.72,4.92,9.72,7.51,11.72,1032,72,0.89,143,,0
"2020-01-01 13:00:00",11.58,5.67,10.54,7.56,16.51,1031,67,0.45,50,,0
"2020-01-01 14:00:00",12.53,6.58,11.59,10.43,16.72,1031,67,2.68,150,,0
"2020-01-01 15:00:00",11.79,7.7,11.01,9.93,15.61,1031,76,2.24,270,,1
"2020-01-01 16:00:00",10.98,8.03,10.27,9.51,15.58,1031,82,1.34,290,,1
"2020-01-01 17:00:00",10.05,7.65,9.33,7.83,13.36,1031,85,0.89,350,,1
"2020-01-01 18:00:00",8.53,6.33,8.53,5.61,11.3,1030,86,0.45,174,,1
"2020-01-01 19:00:00",7.95,5.92,7.95,4.49,11.3,1031,87,0.89,169,,1
"2020-01-01 19:00:00",7.95,5.92,7.95,4.49,11.3,1031,87,0.89,169,,1
"2020-01-01 20:00:00",5.99,5.99,5.99,3.94,12.62,1030,100,0,0,,1
"2020-01-01 20:00:00",5.99,5.99,5.99,3.94,12.62,1030,100,0,0,,1
"2020-01-01 21:00:00",5.38,4.19,4.6,3.23,9.63,1030,92,1.34,112,,20
"2020-01-01 21:00:00",5.38,4.19,4.6,3.23,9.63,1030,92,1.34,112,,20
"2020-01-01 22:00:00",4.66,3.63,3.2,2.77,9.08,1031,93,1.79,168,,20
"2020-01-01 22:00:00",4.66,3.63,3.2,2.77,9.08,1031,93,1.79,168,,20
